job_name,crawling_time,company_name,salary,salary_section,city,area,experience,educational,company_size,company_direction,skills,job_url,company_url
CCL前段（上胶调胶）生产副理,2022-01-02 14:08:29,某外资电子材料（CCL&PP）企业,15-20k·14薪,18-22k,苏州,昆山,统招本科,10年以上,1000-2000人,芯片/集成电路,,https://www.liepin.com/a/33085219.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=0&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=0,
清洗工程师（前段）,2022-01-02 14:08:29,绿展科技,9-11k,6-10k,佛山,南海区,大专及以上,1-3年,50-99人,电子/芯片/半导体,,https://www.liepin.com/job/1946111585.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=1&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=1,https://www.liepin.com/company/12285523/
数字营销，前段推广经理,2022-01-02 14:08:29,上市内资企业,25-35k,26-30k,上海,,统招本科,3-5年,10000人以上,医药销售,,https://www.liepin.com/a/33049595.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=2&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=2,
先进工艺开发资深工程师（前段）,2022-01-02 14:08:29,某新能源企业,12-18k·14薪,14-18k,厦门,,统招本科,一年以下,1000-2000人,新能源,,https://www.liepin.com/a/33052839.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=3&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=3,
芯片前段工艺工程师,2022-01-02 14:08:29,佛山市国星半导体技术有限公司,7-14k,10-14k,佛山,南海区,大专及以上,3-5年,500-999人,电子/芯片/半导体,,https://www.liepin.com/job/1940429253.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=4&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=4,https://www.liepin.com/company/7970625/
前段开发leader,2022-01-02 14:08:29,大型互联网企业,18-25k·13薪,22-26k,南京,江宁区,统招本科,3-5年,50-99人,互联网/电商,,https://www.liepin.com/a/33080835.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=5&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=5,
前段leader,2022-01-02 14:08:29,某医疗管理有限公司,30-50k,35-40k,深圳,福田区,本科及以上,5-10年,100-499人,医疗机构,架构设计|Vue,https://www.liepin.com/a/32788043.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=6&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=6,
Java前段开发工程师,2022-01-02 14:08:29,某地方银行总行,20-30k,22-26k,宁波,,统招本科,3-5年,10000人以上,银行,Sass|架构设计|Gulp|Webpack|HTML5|HTML|Vue|界面开发,https://www.liepin.com/a/32671223.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=7&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=7,
电芯工艺工程师(前段),2022-01-02 14:08:29,新能源电池企业（储能方向）,10-15k·14薪,14-18k,厦门,同安区,统招本科,经验不限,1000-2000人,新能源,,https://www.liepin.com/a/30763441.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=8&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=8,
前段工艺工程师,2022-01-02 14:08:29,厦门海辰新能源科技有限公司,8-15k·14薪,10-14k,厦门,同安区,本科及以上,3-5年,1000-2000人,新能源,,https://www.liepin.com/job/1942532413.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=9&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=9,https://www.liepin.com/company/12223787/
前段工程师/资深工程师,2022-01-02 14:08:29,某新能源科技公司,10-15k·14薪,14-18k,厦门,,本科及以上,1-3年,1000-2000人,新能源,,https://www.liepin.com/a/32309633.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=10&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=10,
前段/后段工艺工程师,2022-01-02 14:08:29,乾照光电,8-13k,10-14k,南昌,,大专及以上,3-5年,1000-2000人,电子/芯片/半导体,,https://www.liepin.com/job/1936909835.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=11&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=11,https://www.liepin.com/company/9842235/
芯片前段工程师,2022-01-02 14:08:29,天津华慧芯科技集团有限公司,5-10k,6-10k,天津,滨海新区,统招本科,1-3年,50-99人,芯片/集成电路,,https://www.liepin.com/job/1939795411.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=12&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=12,https://www.liepin.com/company/10268967/
前段整合工程师,2022-01-02 14:08:29,武汉敏声新技术有限公司,18-36k·15薪,30-35k,北京,通州区,本科及以上,3-5年,50-99人,芯片/集成电路,,https://www.liepin.com/job/1944456911.shtml?d_sfrom=search_prime&d_ckId=676189db4bd188e0dcda7d11916ed66e&d_curPage=0&d_pageSize=40&d_headId=676189db4bd188e0dcda7d11916ed66e&d_posi=13&skId=2aaf8cdd1414b0b12013e4b66f87a45c&fkId=2aaf8cdd1414b0b12013e4b66f87a45c&ckId=2aaf8cdd1414b0b12013e4b66f87a45c&sfrom=search_job_pc&curPage=0&pageSize=40&index=13,https://www.liepin.com/company/12489541/
